id,title,type,status,ProcessingTime,Participation,Consensus
189,Update inflation rate for maintaining EVM chains,ParameterChangeProposal,PASSED,"3 days, 0 hours 0 minutes",1.0,0.9997
187,Increase voting period for governance proposal,ParameterChangeProposal,PASSED,"1 days, 0 hours 0 minutes",1.0,0.9999
221,Axelar v10 Upgrade Proposal,SoftwareUpgradeProposal,PASSED,"3 days, 0 hours 0 minutes",1.0,0.9999
196,Axelarators Community Owned Telegram Group and X Twitter Account Proposal,CommunityPoolSpendProposal,PASSED,"3 days, 0 hours 0 minutes",1.0,0.3504
266,Upload Router v120,StoreCodeProposal,PASSED,"3 days, 0 hours 0 minutes",1.0,0.9999
261,Upload Multisig v111,StoreCodeProposal,PASSED,"3 days, 0 hours 0 minutes",1.0,0.9999
263,Upload MultisigProver v111,StoreCodeProposal,PASSED,"3 days, 0 hours 0 minutes",1.0,0.9999
264,Upload Gateway v111,StoreCodeProposal,PASSED,"3 days, 0 hours 0 minutes",1.0,0.9999
265,Upload Router v110,StoreCodeProposal,PASSED,"3 days, 0 hours 0 minutes",1.0,0.9605
262,Upload InterchainTokenService v100,StoreCodeProposal,PASSED,"3 days, 0 hours 0 minutes",1.0,1.0
258,Update VotingVerifier Admin,UpdateAdminProposal,PASSED,"3 days, 0 hours 0 minutes",1.0,0.9999
259,Update Gateway Admin,UpdateAdminProposal,PASSED,"3 days, 0 hours 0 minutes",1.0,0.9999
260,Update MultisigProver Admin,UpdateAdminProposal,PASSED,"3 days, 0 hours 0 minutes",1.0,0.9999
269,Upload AxelarnetGateway v100,StoreCodeProposal,PASSED,"3 days, 0 hours 0 minutes",1.0,0.9999
271,Upload ServiceRegistry v110,StoreCodeProposal,PASSED,"3 days, 0 hours 0 minutes",1.0,0.9999
270,Upload Coordinator v110,StoreCodeProposal,PASSED,"3 days, 0 hours 0 minutes",1.0,0.9999
238,Add 32 new verifiers to approved amplifier verifier set,ExecuteContractProposal,PASSED,"3 days, 0 hours 0 minutes",1.0,0.9999
198,Update inflation rate for maintaining EVM chains,ParameterChangeProposal,PASSED,"3 days, 0 hours 0 minutes",1.0,0.9999
220,Building Organic Buzz for Axelar via CipherClout PR,CommunityPoolSpendProposal,PASSED,"3 days, 0 hours 0 minutes",1.0,0.3314
